model_id,miou_mean,miou_std,miou_min,miou_max,n_seeds,rank_best,rank_worst
metal_manet_edge4_effb0,0.610038,0.019907,0.588913,0.631148,5,1,4
metal_unetpp_clahe_effb0,0.600666,0.032185,0.552810,0.630183,5,1,14
metal_unet_clahe_r34,0.598957,0.021259,0.571321,0.627086,5,3,10
dl_unet_effb0,0.593892,0.012635,0.578878,0.609840,5,2,8
dl_deeplabv3p_effb0,0.583166,0.006102,0.577328,0.591015,5,3,13
metal_unet_gabor_r34,0.576905,0.021883,0.542467,0.602876,5,4,14
metal_deeplabv3p_clahe_r34,0.564276,0.008070,0.552317,0.572378,5,8,15
metal_segformer_clahe_b0,0.557980,0.040392,0.488569,0.585794,5,2,20
metal_unet_gray_r34,0.557944,0.041763,0.487181,0.585404,5,6,22
dl_unetpp_r34,0.554885,0.030676,0.527128,0.607015,5,4,17
dl_segformer_b2,0.552578,0.038152,0.506516,0.602227,5,4,18
dl_unet_r34,0.550392,0.027279,0.519794,0.592247,5,6,17
metal_unet_edge4_r34,0.544137,0.059538,0.462093,0.596743,5,5,21
dl_deeplabv3p_r34,0.540350,0.053017,0.450554,0.578316,5,7,23
metal_unetpp_gray_r34,0.538442,0.028871,0.505916,0.578353,5,11,18
dl_segformer_b0,0.534897,0.036113,0.483627,0.585143,5,5,21
metal_segformer_gray_b2,0.532828,0.010490,0.519979,0.544550,5,14,17
metal_unet_lbp_r34,0.529887,0.037192,0.474786,0.572571,5,8,21
dl_manet_r34,0.522965,0.042453,0.469784,0.575253,5,9,20
metal_linknet_edge4_r34,0.521046,0.031784,0.487030,0.564750,5,10,21
dl_linknet_r34,0.515470,0.037414,0.463949,0.566560,5,14,21
metal_upernet_clahe_b2,0.456709,0.029001,0.411936,0.486358,5,18,27
dl_upernet_b2,0.453848,0.030841,0.414615,0.492885,5,22,26
metal_mlography_unet_vgg16_gray,0.451065,0.033652,0.415440,0.503195,5,19,27
dl_pspnet_r34,0.444571,0.012248,0.428942,0.461951,5,23,27
dl_upernet_b0,0.439407,0.011537,0.431194,0.459452,5,25,28
metal_fpn_gabor_r34,0.425051,0.036959,0.377463,0.476822,5,23,29
dl_fpn_r34,0.422292,0.050717,0.340112,0.466101,5,23,28
dl_deeplabv3_r34,0.328794,0.040791,0.297136,0.400226,5,28,29
