subset,subset_name,family,image,miou,dice,pixel_acc,model_id,display_name,group,category,architecture,encoder,input_mode,params_m,train_seconds
4130-steel,4130 Steel,Steel,4130 x 10 (1).jpg,0.5866694236766485,0.7382615317059118,0.7442220052083334,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (2).jpg,0.49326874537916693,0.6579416780981496,0.6685926649305556,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (3).jpg,0.4834264151215927,0.649763903275854,0.6574978298611112,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (4).jpg,0.4609058160403774,0.6294351034137938,0.6351725260416666,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (5).jpg,0.30258666346569096,0.4478600091358197,0.4949001736111111,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (6).jpg,0.3939939934603453,0.555398938587018,0.5874837239583334,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (7).jpg,0.46364196733069474,0.6279444357140302,0.6486002604166666,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (8).jpg,0.44001617235517654,0.5992957489814946,0.6406521267361112,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (9).jpg,0.4291494201391568,0.5918105986213001,0.6220160590277778,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (10).jpg,0.46656162248039923,0.6261584141975376,0.6633029513888888,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (11).jpg,0.45679101129302035,0.6133928780605064,0.6626247829861112,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (12).jpg,0.4316971156558273,0.5861386723945965,0.6439344618055556,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (13).jpg,0.4331249730547052,0.5896822650431713,0.6404351128472222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (14).jpg,0.4710867439684997,0.6243390474211521,0.6833767361111112,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (15).jpg,0.4626658629289531,0.6197013330202441,0.6666395399305556,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (16).jpg,0.42362782261078424,0.5822443102325175,0.6260036892361112,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (17).jpg,0.4711596050540665,0.624318701854039,0.6836751302083334,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (18).jpg,0.43673682440933326,0.5927982467567171,0.6451822916666666,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (19).jpg,0.4119689875192265,0.5713350616829883,0.6120062934027778,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 10 (20).jpg,0.3684585305746524,0.5247765188835178,0.5673828125,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (1).jpg,0.4199695835409778,0.5822002451325448,0.6138237847222222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (2).jpg,0.4427106053507145,0.6022200673023332,0.6426323784722222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (3).jpg,0.4681843028713375,0.6303005012894058,0.6579861111111112,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (4).jpg,0.3603803167045425,0.5107430256357822,0.5688205295138888,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (5).jpg,0.7066101915137164,0.828065560681347,0.8282063802083334,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
