model_id,display_name,group,category,architecture,encoder,input_mode,subset,miou,dice,pixel_acc
dl_deeplabv3_r34,DeepLabV3 (ResNet34),general,context-atrous,DeepLabV3,resnet34,rgb,4130-steel,0.23389965532414608,0.3241765211166812,0.45789862738715276
dl_deeplabv3_r34,DeepLabV3 (ResNet34),general,context-atrous,DeepLabV3,resnet34,rgb,418-17-4ph-x20,0.20355888608416214,0.25305861801462204,0.3986105944113757
dl_deeplabv3_r34,DeepLabV3 (ResNet34),general,context-atrous,DeepLabV3,resnet34,rgb,418-17-4ph-x5,0.5039661263190393,0.5326392294224,0.9512706163194444
dl_deeplabv3_r34,DeepLabV3 (ResNet34),general,context-atrous,DeepLabV3,resnet34,rgb,5884-armor-steel,0.2792987245227493,0.36523599177630967,0.5375162760416666
dl_deeplabv3_r34,DeepLabV3 (ResNet34),general,context-atrous,DeepLabV3,resnet34,rgb,6280-cast-iron-high,0.40781928168402776,0.44922515633783816,0.8156385633680555
dl_deeplabv3_r34,DeepLabV3 (ResNet34),general,context-atrous,DeepLabV3,resnet34,rgb,6280-cast-iron-low,0.15447930788466904,0.21628419184833494,0.4508611505681818
dl_deeplabv3p_effb0,DeepLabV3+ (EfficientNet-B0),general,context-atrous,DeepLabV3Plus,tu-efficientnet_b0,rgb,4130-steel,0.5017335381318024,0.6520938417201917,0.6793816460503472
dl_deeplabv3p_effb0,DeepLabV3+ (EfficientNet-B0),general,context-atrous,DeepLabV3Plus,tu-efficientnet_b0,rgb,418-17-4ph-x20,0.4315091233818834,0.4985399054054198,0.8007515397652115
dl_deeplabv3p_effb0,DeepLabV3+ (EfficientNet-B0),general,context-atrous,DeepLabV3Plus,tu-efficientnet_b0,rgb,418-17-4ph-x5,0.7546493797878726,0.8411506773780297,0.9700716145833332
dl_deeplabv3p_effb0,DeepLabV3+ (EfficientNet-B0),general,context-atrous,DeepLabV3Plus,tu-efficientnet_b0,rgb,5884-armor-steel,0.5197978736949362,0.6656150756028308,0.715871982473545
dl_deeplabv3p_effb0,DeepLabV3+ (EfficientNet-B0),general,context-atrous,DeepLabV3Plus,tu-efficientnet_b0,rgb,6280-cast-iron-high,0.5034312903394385,0.6081814566474405,0.8266737196180556
dl_deeplabv3p_effb0,DeepLabV3+ (EfficientNet-B0),general,context-atrous,DeepLabV3Plus,tu-efficientnet_b0,rgb,6280-cast-iron-low,0.422486813384735,0.5693999592608199,0.6789846709280303
dl_deeplabv3p_r34,DeepLabV3+ (ResNet34),general,context-atrous,DeepLabV3Plus,resnet34,rgb,4130-steel,0.5245817449334348,0.6810441604328143,0.698428683810764
dl_deeplabv3p_r34,DeepLabV3+ (ResNet34),general,context-atrous,DeepLabV3Plus,resnet34,rgb,418-17-4ph-x20,0.40113468847954886,0.49304858918634104,0.7089339967757936
dl_deeplabv3p_r34,DeepLabV3+ (ResNet34),general,context-atrous,DeepLabV3Plus,resnet34,rgb,418-17-4ph-x5,0.7609944999982166,0.8460191295836471,0.9715852864583333
dl_deeplabv3p_r34,DeepLabV3+ (ResNet34),general,context-atrous,DeepLabV3Plus,resnet34,rgb,5884-armor-steel,0.4931327045409287,0.6284731086119868,0.6989009796626984
dl_deeplabv3p_r34,DeepLabV3+ (ResNet34),general,context-atrous,DeepLabV3Plus,resnet34,rgb,6280-cast-iron-high,0.5016601353154677,0.6056651395227551,0.8262396918402779
dl_deeplabv3p_r34,DeepLabV3+ (ResNet34),general,context-atrous,DeepLabV3Plus,resnet34,rgb,6280-cast-iron-low,0.36687583975090254,0.5174136060482681,0.6233995225694445
dl_fpn_r34,FPN (ResNet34),general,pyramid,FPN,resnet34,rgb,4130-steel,0.31258905080602106,0.424948674700103,0.564111328125
dl_fpn_r34,FPN (ResNet34),general,pyramid,FPN,resnet34,rgb,418-17-4ph-x20,0.3174470680728626,0.44490189414436315,0.5254745887070106
dl_fpn_r34,FPN (ResNet34),general,pyramid,FPN,resnet34,rgb,418-17-4ph-x5,0.5668399503020225,0.6663010422189204,0.8785633680555556
dl_fpn_r34,FPN (ResNet34),general,pyramid,FPN,resnet34,rgb,5884-armor-steel,0.400049168556034,0.5281076677755154,0.6255954964451058
dl_fpn_r34,FPN (ResNet34),general,pyramid,FPN,resnet34,rgb,6280-cast-iron-high,0.3203497522441847,0.47753034718817144,0.493994140625
dl_fpn_r34,FPN (ResNet34),general,pyramid,FPN,resnet34,rgb,6280-cast-iron-low,0.3155266571764832,0.4698616668891791,0.5366654829545454
dl_linknet_r34,LinkNet (ResNet34),general,lightweight,Linknet,resnet34,rgb,4130-steel,0.49406853638545967,0.6459127136120101,0.675130886501736
dl_linknet_r34,LinkNet (ResNet34),general,lightweight,Linknet,resnet34,rgb,418-17-4ph-x20,0.4015711147068807,0.46861351399333584,0.7625377190806878
dl_linknet_r34,LinkNet (ResNet34),general,lightweight,Linknet,resnet34,rgb,418-17-4ph-x5,0.6846884767999031,0.7794407158851626,0.9501866319444444
dl_linknet_r34,LinkNet (ResNet34),general,lightweight,Linknet,resnet34,rgb,5884-armor-steel,0.677899995865665,0.8040576487334716,0.8178788442460319
