model_id,miou_mean,miou_std,miou_min,miou_max,dice_mean,dice_std,dice_min,dice_max,pixel_acc_mean,pixel_acc_std,pixel_acc_min,pixel_acc_max,n_seeds,rank_best,rank_worst
metal_manet_edge4_effb0,0.577970,0.006200,0.570636,0.586216,0.691790,0.008816,0.679427,0.703811,0.808143,0.005023,0.803463,0.816658,5,2,2
metal_unetpp_clahe_effb0,0.576701,0.019013,0.544428,0.594977,0.693633,0.020855,0.658793,0.715066,0.807770,0.007485,0.795103,0.813770,5,1,7
dl_unet_effb0,0.572667,0.023435,0.535606,0.597524,0.688170,0.022691,0.655318,0.711870,0.798753,0.022111,0.763970,0.820594,5,1,7
dl_segformer_b2,0.543693,0.013721,0.529505,0.564417,0.661374,0.017775,0.642832,0.685969,0.783235,0.007182,0.770401,0.786850,5,4,11
metal_unet_clahe_r34,0.542472,0.017710,0.516521,0.557665,0.660900,0.018002,0.637553,0.680298,0.781710,0.010268,0.771563,0.793109,5,4,11
dl_deeplabv3p_effb0,0.541068,0.014859,0.522268,0.556371,0.659894,0.014668,0.639163,0.674488,0.786040,0.008862,0.775680,0.797364,5,3,9
metal_deeplabv3p_clahe_r34,0.530780,0.013655,0.509058,0.543137,0.650536,0.011904,0.630414,0.659651,0.772359,0.023088,0.732674,0.791560,5,7,15
dl_deeplabv3p_r34,0.527734,0.014248,0.508063,0.546521,0.646406,0.015349,0.628611,0.668233,0.772319,0.010903,0.754581,0.782266,5,6,13
dl_manet_r34,0.521646,0.042315,0.469453,0.572610,0.639368,0.045292,0.590606,0.691644,0.754953,0.035934,0.708970,0.790688,5,3,20
metal_unet_gabor_r34,0.515763,0.033638,0.461350,0.544912,0.632264,0.036011,0.579307,0.669736,0.730510,0.055289,0.632386,0.763520,5,5,19
metal_linknet_edge4_r34,0.515432,0.022736,0.489129,0.544823,0.628139,0.028677,0.596448,0.661949,0.760226,0.017017,0.746660,0.782669,5,6,18
metal_unet_edge4_r34,0.513934,0.019202,0.491789,0.541942,0.632795,0.021578,0.610650,0.661575,0.737393,0.022565,0.702017,0.753127,5,9,18
metal_unet_gray_r34,0.513015,0.012488,0.492508,0.522982,0.629165,0.018209,0.601008,0.650079,0.737193,0.017589,0.709913,0.750705,5,12,20
dl_unet_r34,0.512684,0.043534,0.444622,0.565827,0.623202,0.050869,0.547108,0.690378,0.754932,0.025803,0.715695,0.786616,5,3,22
metal_segformer_clahe_b0,0.497153,0.025993,0.472402,0.534634,0.616746,0.032230,0.578045,0.664346,0.737377,0.021741,0.703928,0.755025,5,9,18
metal_segformer_gray_b2,0.494528,0.032798,0.437173,0.518487,0.613751,0.032386,0.557154,0.635826,0.714512,0.037876,0.654492,0.755532,5,10,23
dl_unetpp_r34,0.491424,0.056903,0.395082,0.541167,0.607788,0.053010,0.522871,0.659785,0.728627,0.064305,0.616718,0.773873,5,7,25
dl_segformer_b0,0.491100,0.046884,0.442770,0.543352,0.612998,0.051631,0.560167,0.670104,0.726124,0.045117,0.659040,0.771669,5,6,25
dl_linknet_r34,0.487293,0.021843,0.454875,0.511249,0.599674,0.027625,0.564319,0.626574,0.745497,0.014498,0.722939,0.762342,5,14,22
metal_unet_lbp_r34,0.485711,0.023146,0.467443,0.525789,0.593953,0.023326,0.577471,0.634794,0.721687,0.027989,0.694334,0.764610,5,13,22
metal_unetpp_gray_r34,0.478127,0.054630,0.386789,0.525409,0.594107,0.065070,0.489099,0.656945,0.687332,0.083138,0.539426,0.732622,5,9,26
metal_mlography_unet_vgg16_gray,0.447604,0.015914,0.432231,0.472444,0.562546,0.017867,0.541789,0.590331,0.689962,0.013181,0.674896,0.708648,5,19,26
dl_upernet_b2,0.428609,0.044186,0.354138,0.472751,0.540473,0.055347,0.447979,0.597499,0.667193,0.028802,0.623236,0.695357,5,20,29
dl_pspnet_r34,0.418829,0.035820,0.376009,0.464108,0.521075,0.043828,0.485735,0.579175,0.678870,0.041658,0.609736,0.717044,5,20,27
dl_upernet_b0,0.418216,0.030402,0.394058,0.468000,0.520162,0.031335,0.493709,0.570787,0.673173,0.038763,0.629157,0.735977,5,21,27
metal_upernet_clahe_b2,0.416855,0.069905,0.309442,0.493921,0.521919,0.073123,0.410369,0.608198,0.672242,0.080196,0.551254,0.753272,5,16,29
metal_fpn_gabor_r34,0.405906,0.038908,0.369887,0.457706,0.513885,0.054064,0.460623,0.581138,0.663745,0.021643,0.633556,0.688015,5,23,27
dl_fpn_r34,0.390189,0.033846,0.366975,0.447148,0.492049,0.047876,0.445234,0.566972,0.647676,0.031029,0.604067,0.682199,5,24,28
dl_deeplabv3_r34,0.337200,0.028487,0.297170,0.366119,0.412431,0.037891,0.356770,0.454950,0.637861,0.023098,0.601966,0.657821,5,28,29
