model_id,category,subset,miou,dice,pixel_acc
hed_watershed,deep_edge,418-17-4ph-x5,0.4733751085069444,0.4862412523642118,0.9467502170138888
pidi_watershed,deep_edge,418-17-4ph-x5,0.4733751085069444,0.4862412523642118,0.9467502170138888
pidi_watershed,deep_edge,6280-cast-iron-high,0.39875660597919016,0.4585733935696975,0.7754747178819444
pidi_watershed,deep_edge,418-17-4ph-x20,0.3983587032903439,0.43839401082705126,0.7967174065806878
hed_watershed,deep_edge,6280-cast-iron-high,0.39676717369806,0.4774917793937803,0.7414632161458333
hed_watershed,deep_edge,418-17-4ph-x20,0.3945360087585706,0.4472141076758535,0.7725629856977514
hed_watershed,deep_edge,5884-armor-steel,0.3077935112847222,0.3793936525094182,0.6155870225694444
pidi_watershed,deep_edge,5884-armor-steel,0.3077935112847222,0.3793936525094182,0.6155870225694444
hed_watershed,deep_edge,4130-steel,0.2966749641456563,0.39792261129872825,0.5528103298611111
pidi_watershed,deep_edge,4130-steel,0.282049560546875,0.35928303416891266,0.56409912109375
hed_watershed,deep_edge,6280-cast-iron-low,0.15559649226641414,0.21207152883797384,0.46678947679924243
pidi_watershed,deep_edge,6280-cast-iron-low,0.15559649226641414,0.21207152883797384,0.46678947679924243
sam_vit_base,foundation_sam,418-17-4ph-x5,0.7473908321162799,0.8333732893951792,0.9725108506944444
slimsam_50,foundation_sam,418-17-4ph-x5,0.7469270020995472,0.8329267935932064,0.97255859375
slimsam_77,foundation_sam,418-17-4ph-x5,0.7458724426434015,0.8317426482108249,0.9727712673611112
sam_vit_base,foundation_sam,6280-cast-iron-high,0.4389260233726132,0.5038480179432245,0.8240587022569444
slimsam_77,foundation_sam,6280-cast-iron-high,0.4359875860342653,0.49891664247894474,0.8230197482638889
slimsam_50,foundation_sam,6280-cast-iron-high,0.43575882643212127,0.49848683719031983,0.8231526692708334
slimsam_50,foundation_sam,418-17-4ph-x20,0.4266262534679235,0.48861833410267264,0.802658161789021
sam_vit_base,foundation_sam,418-17-4ph-x20,0.42645185023194254,0.48817790131204264,0.8032058635085979
slimsam_77,foundation_sam,418-17-4ph-x20,0.4215377517412838,0.48117832078804124,0.8006624090608466
slimsam_50,foundation_sam,5884-armor-steel,0.40651747347199646,0.5113733053092954,0.672150142609127
sam_vit_base,foundation_sam,5884-armor-steel,0.4047602769190463,0.5088957520284977,0.671225250082672
slimsam_77,foundation_sam,5884-armor-steel,0.4009005300021524,0.5055668229027772,0.6686830873842593
slimsam_77,foundation_sam,4130-steel,0.28596934746534985,0.3706730161368127,0.5607103135850695
slimsam_50,foundation_sam,4130-steel,0.285857588969173,0.3704595781309582,0.56065673828125
sam_vit_base,foundation_sam,4130-steel,0.2858446198298206,0.3703755709586815,0.5607279459635417
slimsam_77,foundation_sam,6280-cast-iron-low,0.19957143152479861,0.28855026145492085,0.47916420059974746
sam_vit_base,foundation_sam,6280-cast-iron-low,0.19820691799941084,0.2862566528315075,0.4785205571338384
slimsam_50,foundation_sam,6280-cast-iron-low,0.19625547895931222,0.28321212323009404,0.4779804884785354
texturesam_03,foundation_texture,418-17-4ph-x5,0.6376016346134519,0.7221847663469805,0.9572395833333333
texturesam_03,foundation_texture,6280-cast-iron-high,0.44368776517046954,0.5120846888290762,0.8248399522569445
texturesam_03,foundation_texture,418-17-4ph-x20,0.41479290345949316,0.47068984867858915,0.7975686693948413
texturesam_03,foundation_texture,5884-armor-steel,0.405147076602027,0.5102418227034403,0.6701027199074074
texturesam_03,foundation_texture,4130-steel,0.2863269174029829,0.37160000438130736,0.5605604383680556
texturesam_03,foundation_texture,6280-cast-iron-low,0.21382461043983658,0.31841732693829994,0.4761038115530303
